ref_no,pmid,doi,year,topic,section,subtopic,n_citations,ms_pages,citation,url,claim
19,9469327,,1998,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Fisher B, Dignam J, Wolmark N, et al. Lumpectomy and radiation therapy for the treatment of intraductal breast cancer: findings from National Surgical Adjuvant Breast and Bowel Project B-17. J Clin Oncol 1998;16:441-452.",http://www.ncbi.nlm.nih.gov/pubmed/9469327,
20,12867108,,2003,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Houghton J, George WD, Cuzick J, et al. Radiotherapy and tamoxifen in women with completely excised ductal carcinoma in situ of the breast in the UK, Australia, and New Zealand: randomised controlled trial. Lancet 2003;362:95-9102.",http://www.ncbi.nlm.nih.gov/pubmed/12867108,
21,10683002,,2000,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Julien JP, Bijker N, Fentiman IS, et al. Radiotherapy in breast- conserving treatment for ductal carcinoma in situ: first results of the EORTC randomised phase III trial 10853. EORTC Breast Cancer Cooperative Group and EORTC Radiotherapy Group. Lancet 2000;355:528-533.",http://www.ncbi.nlm.nih.gov/pubmed/10683002,
22,21145284,,2011,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,"131,135","Cuzick J, Sestak I, Pinder SE, et al. Effect of tamoxifen and radiotherapy in women with locally excised ductal carcinoma in situ: long-term results from the UK/ANZ DCIS trial. Lancet Oncol 2011;12:21- 29.",http://www.ncbi.nlm.nih.gov/pubmed/21145284,A phase III trial randomized patients with excised DCIS to receive WBRT or no WBRT and tamoxifen versus no tamoxifen.
23,21398619,,2011,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,4,"131,135","Wapnir IL, Dignam JJ, Fisher B, et al. Long-term outcomes of invasive ipsilateral breast tumor recurrences after lumpectomy in NSABP B-17 and B-24 randomized clinical trials for DCIS. J Natl Cancer Inst 2011;103:478-488.",http://www.ncbi.nlm.nih.gov/pubmed/21398619,"The long-term follow-up of the NSABP B-17 trial showed that at 15 years, RT resulted in a 52% reduction of ipsilateral invasive recurrence compared with excision alone (HR, 0.48; 95% CI, 0.33-0.69, P < .001)."
24,25605856,,2015,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,"131,132","McCormick B, Winter K, Hudis C, et al. RTOG 9804: a prospective randomized trial for good-risk ductal carcinoma in situ comparing radiotherapy with observation. J Clin Oncol 2015;33:709-715.",https://www.ncbi.nlm.nih.gov/pubmed/25605856,"The RTOG 9804 trial investigated outcomes of RT omission in the setting of low-risk DCIS, randomizing 636 patients with low-risk disease to either RT or observation after surgery."
25,18250350,,2008,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Holmberg L, Garmo H, Granstrand B, et al. Absolute risk reductions for local recurrence after postoperative radiotherapy after sector resection for ductal carcinoma in situ of the breast. J Clin Oncol 2008;26:1247-1252.",http://www.ncbi.nlm.nih.gov/pubmed/18250350,"Several prospective randomized trials of pure DCIS have shown that the addition of whole breast RT (WBRT) after BCS decreases the rate of in-breast disease recurrence, but not distant metastasis-free survival."
26,19447038,,2009,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Goodwin A, Parker S, Ghersi D, Wilcken N. Post-operative radiotherapy for ductal carcinoma in situ of the breast--a systematic review of the randomised trials. Breast 2009;18:143-149.",http://www.ncbi.nlm.nih.gov/pubmed/19447038,"A meta-analysis of four large multicenter randomized trials confirmed the results of the individual trials, demonstrating that the addition of WBRT after BCS for DCIS provides a statistically and clinically significant reduction in ipsilateral breast events (hazard ratio [HR], 0.49; 95% confidence i"
27,26291673,,2015,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,131,"Narod SA, Iqbal J, Giannakeas V, et al. Breast cancer mortality after a diagnosis of ductal carcinoma in situ. JAMA Oncol 2015;1:888-896.",https://www.ncbi.nlm.nih.gov/pubmed/26291673,"Similar findings were reported by a large observational study of the SEER database that included 108,196 patients with DCIS."
28,26834064,,2016,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Sagara Y, Freedman RA, Vaz-Luis I, et al. Patient prognostic score and associations with survival improvement offered by radiotherapy after breast-conserving surgery for ductal carcinoma in situ: A population- based longitudinal cohort study. J Clin Oncol 2016;34:1190-1196.",https://www.ncbi.nlm.nih.gov/pubmed/26834064,"In contrast, several population-based studies suggest beneficial effects of WBRT for DCIS after BCS; for example, the use of WBRT in patients with higher-risk DCIS (eg, higher nuclear grade, younger age, larger tumor size) was demonstrated to be associated with a modest but statistically significant"
29,30646103,,2018,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Giannakeas V, Sopik V, Narod SA. Association of radiotherapy with survival in women treated for ductal carcinoma in situ with lumpectomy or mastectomy. JAMA Netw Open 2018;1:e181100.",https://www.ncbi.nlm.nih.gov/pubmed/30646103,"n another observational study of the SEER database including 140,366 patients with DCIS, the 15-year breast cancer mortality rate was 1.7% for those treated with breast-conserving therapy (BCT) versus 2.3% for patients treated with BCS alone (HR, 0.77; 95% CI, 0.67-0.88; P < .001), demonstrating a s"
30,17577015,,2007,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,"131,146","Bartelink H, Horiot JC, Poortmans PM, et al. Impact of a higher radiation dose on local control and survival in breast-conserving therapy of early breast cancer: 10-year results of the randomized boost versus no boost EORTC 22881-10882 trial. J Clin Oncol 2007;25:3259-3265.",http://www.ncbi.nlm.nih.gov/pubmed/17577015,RT Boost: The use of RT boost has been demonstrated to provide a small but statistically significant reduction in ipsilateral breast tumor recurrence (IBTR) risk (4% at 20 years) in all age groups for invasive breast cancers.
31,25500422,,2015,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Bartelink H, Maingon P, Poortmans P, et al. Whole-breast irradiation with or without a boost for patients treated with breast-conserving surgery for early breast cancer: 20-year follow-up of a randomised phase 3 trial. Lancet Oncol 2015;16:47-56.",https://www.ncbi.nlm.nih.gov/pubmed/25500422,RT Boost: The use of RT boost has been demonstrated to provide a small but statistically significant reduction in ipsilateral breast tumor recurrence (IBTR) risk (4% at 20 years) in all age groups for invasive breast cancers.
32,9060534,,1997,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,"131,146","Romestaing P, Lehingue Y, Carrie C, et al. Role of a 10-Gy boost in the conservative treatment of early breast cancer: results of a randomized clinical trial in Lyon, France. J Clin Oncol 1997;15:963-968.",http://www.ncbi.nlm.nih.gov/pubmed/9060534,RT Boost: The use of RT boost has been demonstrated to provide a small but statistically significant reduction in ipsilateral breast tumor recurrence (IBTR) risk (4% at 20 years) in all age groups for invasive breast cancers.
33,12426672,,2002,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,131,"Polgar C, Fodor J, Orosz Z, et al. Electron and high-dose-rate brachytherapy boost in the conservative treatment of stage I-II breast cancer first results of the randomized Budapest boost trial. Strahlenther Onkol 2002;178:615-623.",https://www.ncbi.nlm.nih.gov/pubmed/12426672,RT Boost: The use of RT boost has been demonstrated to provide a small but statistically significant reduction in ipsilateral breast tumor recurrence (IBTR) risk (4% at 20 years) in all age groups for invasive breast cancers.
34,28358936,,2017,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,131,"Moran MS, Zhao Y, Ma S, et al. Association of radiotherapy boost for ductal carcinoma in situ with local control after whole-breast radiotherapy. JAMA Oncol 2017;3:1060-1068.",https://www.ncbi.nlm.nih.gov/pubmed/28358936,"The use of RT boost was associated with significantly decreased IBTR across the entire cohort of patients (HR, 0.73; 95% CI, 0.57-0.94; P = .01)."
35,32203696,,2020,"in list, never cited",,,0,,"King MT, Link EK, Whelan TJ, et al. Quality of life after breast- conserving therapy and adjuvant radiotherapy for non-low-risk ductal carcinoma in situ (BIG 3-07/TROG 07.01): 2-year results of a randomised, controlled, phase 3 trial. Lancet Oncol 2020;21:685-698.",https://www.ncbi.nlm.nih.gov/pubmed/32203696,
36,,10.1158/1538-7445,2021,"in list, never cited",,,0,,"Chua BH, Link E, Kunkler I, et al. Abstract GS2-04: A randomized phase III study of radiation doses and fractionation schedules in non-low risk ductal carcinoma in situ (DCIS) of the breast (BIG 3-07/TROG 07.01). Cancer Research 2021;81:GS2-04-GS02-04.",https://doi.org/10.1158/1538-7445.SABCS20-GS2-04,
37,17687650,,2008,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,132,"Di Saverio S, Catena F, Santini D, et al. 259 Patients with DCIS of the breast applying USC/Van Nuys prognostic index: a retrospective review with long term follow up. Breast Cancer Res Treat 2008;109:405- 416.",http://www.ncbi.nlm.nih.gov/pubmed/17687650,There are retrospective series suggesting that selected patients have a low risk of in-breast recurrence when treated with excision alone (without WBRT).
38,18564426,,2008,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,3,132,"Gilleard O, Goodman A, Cooper M, et al. The significance of the Van Nuys prognostic index in the management of ductal carcinoma in situ. World J Surg Oncol 2008;6:61-61.",http://www.ncbi.nlm.nih.gov/pubmed/18564426,There are retrospective series suggesting that selected patients have a low risk of in-breast recurrence when treated with excision alone (without WBRT).
39,8635094,,1996,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,132,"Silverstein MJ, Lagios MD, Craig PH, et al. A prognostic index for ductal carcinoma in situ of the breast. Cancer 1996;77:2267-2274.",http://www.ncbi.nlm.nih.gov/pubmed/8635094,There are retrospective series suggesting that selected patients have a low risk of in-breast recurrence when treated with excision alone (without WBRT).
40,10320383,,1999,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,132,"Silverstein MJ, Lagios MD, Groshen S, et al. The influence of margin width on local control of ductal carcinoma in situ of the breast. N Engl J Med 1999;340:1455-1461.",http://www.ncbi.nlm.nih.gov/pubmed/10320383,There are retrospective series suggesting that selected patients have a low risk of in-breast recurrence when treated with excision alone (without WBRT).
41,19826126,,2009,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,132,"Hughes LL, Wang M, Page DL, et al. Local excision alone without irradiation for ductal carcinoma in situ of the breast: a trial of the Eastern Cooperative Oncology Group. J Clin Oncol 2009;27:5319-5324.",http://www.ncbi.nlm.nih.gov/pubmed/19826126,"tification for risk of recurrence in this retrospective at diagnosis. study was calculated using the modified Van Nuys Prognostic Index based on tumor grade, size, absence of comedo necrosis, margin width, and age A multi-institutional, non-randomized, prospective study of selected patients with low"
42,34406870,,2021,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"McCormick B, Winter KA, Woodward W, et al. Randomized phase III trial evaluating radiation following surgical excision for good-risk ductal carcinoma in situ: Long-term report from NRG Oncology/RTOG 9804. J Clin Oncol 2021;39:3574-3582.",https://www.ncbi.nlm.nih.gov/pubmed/34406870,"With a follow-up of 15 years, local recurrence rates were reduced by 50% with RT versus without RT (7.1% vs. 15.1%; HR, 0.36; 95% CI, 0.20-0.66)."
43,31813636,,2019,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Radiation Therapy > Principles of Radiation Therapy > Regional Nodal Irradiation",NCCN Recommendation for RNI:,3,"133,148","Vicini FA, Cecchini RS, White JR, et al. Long-term primary results of accelerated partial breast irradiation after breast-conserving surgery for early-stage breast cancer: a randomised, phase 3, equivalence trial. Lancet 2019;394:2155-2164.",https://www.ncbi.nlm.nih.gov/pubmed/31813636,"The available evidence from four randomized trials (NSABP B-39/RTOG 0413,"
44,31813635,,2019,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Radiation Therapy > Principles of Radiation Therapy > Regional Nodal Irradiation",NCCN Recommendation for RNI:,3,"133,148","Whelan TJ, Julian JA, Berrang TS, et al. External beam accelerated partial breast irradiation versus whole breast irradiation after breast conserving surgery in women with ductal carcinoma in situ and node- negative breast cancer (RAPID): a randomised controlled trial. Lancet 2019;394:2165-2172.",https://www.ncbi.nlm.nih.gov/pubmed/31813635,"The available evidence from four randomized trials (NSABP B-39/RTOG 0413, OCOG-RAPID,"
45,25605582,,2015,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Livi L, Meattini I, Marrazzo L, et al. Accelerated partial breast irradiation using intensity-modulated radiotherapy versus whole breast irradiation: 5-year survival analysis of a phase 3 randomised controlled trial. Eur J Cancer 2015;51:451-463.",https://www.ncbi.nlm.nih.gov/pubmed/25605582,"The available evidence from four randomized trials (NSABP B-39/RTOG 0413, OCOG-RAPID, University of Florence,"
46,26494415,,2016,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",NCCN Recommendation for RNI:,2,"133,148","Strnad V, Ott OJ, Hildebrandt G, et al. 5-year results of accelerated partial breast irradiation using sole interstitial multicatheter brachytherapy versus whole-breast irradiation with boost after breast- conserving surgery for low-risk invasive and in-situ carcinoma of the female breast: a randomised, phase 3, non-inferiority trial. Lancet 2016;387:229-238.",https://www.ncbi.nlm.nih.gov/pubmed/26494415,"The available evidence from four randomized trials (NSABP B-39/RTOG 0413, OCOG-RAPID, University of Florence, and GEC-ESTRO"
47,27538810,,2016,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,133,"Morrow M, Van Zee KJ, Solin LJ, et al. Society of Surgical Oncology- American Society for Radiation Oncology-American Society of Clinical Oncology consensus guideline on margins for breast-conserving surgery with whole-breast irradiation in ductal carcinoma in situ. Pract Radiat Oncol 2016;6:287-295.",https://www.ncbi.nlm.nih.gov/pubmed/27538810,"Per the ASTRO guideline for APBI, patients with screen-detected DCIS measuring <2.5 cm, with grade I or II disease, and with negative margins of 3 mm or more are “suitable” candidates for APBI."
48,16164913,,2005,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"MacDonald HR, Silverstein MJ, Mabry H, et al. Local control in ductal carcinoma in situ treated by excision alone: incremental benefit of larger margins. Am J Surg 2005;190:521-525.",http://www.ncbi.nlm.nih.gov/pubmed/16164913,"Results from a retrospective study of 445 patients with pure DCIS treated by excision alone indicated that margin width was the most important independent predictor of local recurrence, although the trend for decreasing local recurrence risk with increasing margin width was most apparent with margin"
49,19255332,,2009,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Dunne C, Burke JP, Morrow M, Kell MR. Effect of margin status on local recurrence after breast conservation and radiation therapy for ductal carcinoma in situ. J Clin Oncol 2009;27:1615-1620.",http://www.ncbi.nlm.nih.gov/pubmed/19255332,"In a meta-analysis of 4660 patients with DCIS treated with BCS and radiation, a surgical margin of <2 mm was associated with increased rates of IBTR compared with margins of 2 mm, although no significant differences were observed when margins of >2 mm to 5 mm or >5 mm were compared with 2-mm margins"
50,26366541,,2015,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,2,133,"Van Zee KJ, Subhedar P, Olcese C, et al. Relationship between margin width and recurrence of ductal carcinoma in situ: Analysis of 2996 women treated with breast-conserving surgery for 30 years. Ann Surg 2015;262:623-631.",http://www.ncbi.nlm.nih.gov/pubmed/26366541,"A study retrospectively reviewed a database of 2996 patients with DCIS who underwent BCS to investigate the association between margin width and recurrence, controlling all other characteristics."
51,19768878,,2003,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Cody HS, Van Zee KJ. Point: sentinel lymph node biopsy is indicated for patients with DCIS. J Natl Compr Canc Netw 2003;1:199-206.",http://www.ncbi.nlm.nih.gov/pubmed/19768878,"For DCIS patients undergoing mastectomy, or for local excision in an anatomic location that could compromise the lymphatic drainage pattern to the axilla (eg, tail of the breast), a sentinel lymph node biopsy (SLNB) procedure should strongly be considered at the time of definitive surgery to avoid n"
52,19768879,,2003,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Edge SB, Sheldon DG. Counterpoint: sentinel lymph node biopsy is not indicated for ductal carcinoma in situ. J Natl Compr Canc Netw 2003;1:207-212.",http://www.ncbi.nlm.nih.gov/pubmed/19768879,"For DCIS patients undergoing mastectomy, or for local excision in an anatomic location that could compromise the lymphatic drainage pattern to the axilla (eg, tail of the breast), a sentinel lymph node biopsy (SLNB) procedure should strongly be considered at the time of definitive surgery to avoid n"
53,16157938,,2005,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Lyman GH, Giuliano AE, Somerfield MR, et al. American Society of Clinical Oncology guideline recommendations for sentinel lymph node biopsy in early-stage breast cancer. J Clin Oncol 2005;23:7703-7720.",http://www.ncbi.nlm.nih.gov/pubmed/16157938,"For DCIS patients undergoing mastectomy, or for local excision in an anatomic location that could compromise the lymphatic drainage pattern to the axilla (eg, tail of the breast), a sentinel lymph node biopsy (SLNB) procedure should strongly be considered at the time of definitive surgery to avoid n"
54,20071685,,2010,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Virnig BA, Tuttle TM, Shamliyan T, Kane RL. Ductal carcinoma in situ of the breast: a systematic review of incidence, treatment, and outcomes. J Natl Cancer Inst 2010;102:170-178.",http://www.ncbi.nlm.nih.gov/pubmed/20071685,"For DCIS patients undergoing mastectomy, or for local excision in an anatomic location that could compromise the lymphatic drainage pattern to the axilla (eg, tail of the breast), a sentinel lymph node biopsy (SLNB) procedure should strongly be considered at the time of definitive surgery to avoid n"
55,21493791,,2011,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Primary Treatment for DCIS",,1,133,"Brennan ME, Turner RM, Ciatto S, et al. Ductal carcinoma in situ at core-needle biopsy: meta-analysis of underestimation and predictors of invasive breast cancer. Radiology 2011;260:119-128.",http://www.ncbi.nlm.nih.gov/pubmed/21493791,Since only a small proportion of patients (about 25%) with seemingly pure DCIS on initial biopsy will have invasive breast cancer at the time of the definitive surgical procedure
56,16288118,,2005,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Management of DCIS After Primary Treatment",,1,135,"Fisher B, Costantino JP, Wickerham DL, et al. Tamoxifen for the prevention of breast cancer: current status of the National Surgical Adjuvant Breast and Bowel Project P-1 study. J Natl Cancer Inst 2005;97:1652-1662.",http://www.ncbi.nlm.nih.gov/pubmed/16288118,The Breast Cancer Prevention Trial performed by NSABP showed a 75% reduction in the occurrence of invasive breast cancer in patients with ADH treated with tamoxifen.
57,9747868,,1998,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Management of DCIS After Primary Treatment",,1,135,"Fisher B, Costantino JP, Wickerham DL, et al. Tamoxifen for prevention of breast cancer: report of the National Surgical Adjuvant Breast and Bowel Project P-1 Study. J Natl Cancer Inst 1998;90:1371- 1388.",http://www.ncbi.nlm.nih.gov/pubmed/9747868,The Breast Cancer Prevention Trial performed by NSABP showed a 75% reduction in the occurrence of invasive breast cancer in patients with ADH treated with tamoxifen.
58,12591986,,2003,DCIS,"Ductal Carcinoma in Situ (Tis, N0, M0) > Management of DCIS After Primary Treatment",,1,135,"Tan-Chiu E, Wang J, Costantino JP, et al. Effects of tamoxifen on benign breast disease in women at high risk for breast cancer. J Natl Cancer Inst 2003;95:302-307.",http://www.ncbi.nlm.nih.gov/pubmed/12591986,These data also showed that tamoxifen led to a substantial reduction in the risk of developing invasive breast disease.
